Wavelength,Intensity
467.61575139924048,657
467.62431712768233,656
467.63288278320715,650
467.64144836580584,666
467.6500138754696,682
467.6585793121896,788
467.66714467595682,1468
467.6757099667625,2105
467.68427518459771,2355
467.69284032945353,3041
467.7014054013211,884
467.70997040019154,683
467.71853532605593,675
467.72710017890546,679
467.73566495873109,662
467.74422966552419,682
467.75279429927565,671
467.76135885997661,690
467.76992334761826,671
467.77848776219167,699
467.78705210368804,698
467.79561637209832,677
467.80418056741377,687
467.81274468962545,670
467.8213087387245,697
467.82987271470193,685
467.83843661754906,680
467.84700044725685,675
467.85556420381641,687
467.864127887219,679
467.87269149745555,699
467.88125503451732,682
467.8898184983953,676
467.89838188908078,687
467.90694520656473,701
467.91550845083827,693
467.92407162189261,659
467.93263471971881,694
467.94119774430794,675
467.94976069565126,694
467.95832357373973,674
467.9668863785646,700
467.97544911011693,693
467.9840117683878,699
467.99257435336835,699
468.00113686504972,677
468.009699303423,683
468.01826166847945,673
468.02682396021,672
468.03538617860579,693
468.04394832365807,694
468.05251039535779,687
468.06107239369618,675
468.06963431866438,680
468.07819617025348,692
468.08675794845465,688
468.09531965325885,698
468.10388128465729,691
468.11244284264114,676
468.12100432720149,681
468.1295657383294,686
468.13812707601608,689
468.14668834025264,698
468.15524953103017,675
468.16381064833985,696
468.1723716921727,719
468.18093266251981,685
468.18949355937247,675
468.19805438272169,685
468.20661513255868,689
468.21517580887445,676
468.22373641166018,679
468.232296940907,691
468.240857396606,691
468.24941777874835,686
468.25797808732517,693
468.26653832232745,679
468.27509848374655,680
468.28365857157348,682
468.29221858579922,687
468.30077852641517,677
468.30933839341225,691
468.31789818678169,681
468.32645790651446,702
468.33501755260193,700
468.34357712503493,684
468.35213662380488,688
468.3606960489027,690
468.36925540031967,687
468.37781467804678,682
468.38637388207519,687
468.39493301239605,682
468.40349206900049,713
468.41205105187959,678
468.42060996102458,690
468.4291687964265,689
468.43772755807646,688
468.44628624596567,711
468.45484486008513,675
468.4634034004261,683
468.47196186697965,682
468.48052025973692,700
468.489078578689,688
468.49763682382707,683
468.50619499514221,706
468.5147530926256,700
468.52331111626825,698
468.53186906606152,679
468.54042694199632,708
468.54898474406389,679
468.55754247225525,687
468.56610012656165,678
468.57465770697416,695
468.58321521348392,698
468.59177264608212,692
468.60033000475977,688
468.60888728950806,688
468.61744450031807,684
468.62600163718105,675
468.63455870008806,693
468.64311568903025,676
468.65167260399869,666
468.66022944498462,687
468.668786211979,708
468.6773429049731,699
468.68589952395808,676
468.694456068925,685
468.70301253986486,706
468.711568936769,701
468.7201252596285,673
468.72868150843448,692
468.73723768317814,706
468.74579378385033,679
468.75434981044259,723
468.76290576294576,695
468.77146164135104,673
468.78001744564966,685
468.78857317583265,698
468.7971288318912,685
468.80568441381632,704
468.81423992159938,709
468.82279535523128,690
468.83135071470326,694
468.83990600000641,694
468.84846121113196,681
468.85701634807094,695
468.86557141081454,678
468.87412639935388,692
468.88268131368011,685
468.89123615378429,688
468.89979091965768,687
468.90834561129134,683
468.91690022867635,675
468.925454771804,681
468.93400924066532,706
468.94256363525142,695
468.95111795555351,666
468.95967220156263,677
468.96822637327006,700
468.97678047066677,677
468.98533449374406,686
468.99388844249296,715
469.00244231690459,701
469.01099611697026,679
469.01954984268093,676
469.02810349402768,692
469.03665707100186,679
469.04521057359449,695
469.05376400179671,691
469.0623173555997,676
469.07087063499455,677
469.07942383997243,705
469.08797697052444,703
469.0965300266418,691
469.10508300831549,708
469.11363591553686,685
469.12218874829688,669
469.13074150658673,686
469.13929419039761,694
469.14784679972058,727
469.1563993345469,914
469.16495179486753,2951
469.17350418067377,981
469.1820564919567,682
469.19060872870745,697
469.19916089091714,679
